url,length,hasNumbers,numDots,hasHyphen,hasAtSymbol,label
cjtiyzyg.com,12,0,1,0,0,0
spnjn,5,0,0,0,0,1
update-ahtbh,12,0,0,1,0,1
yefbefaho.com,13,0,1,0,0,0
account.ssmbxhw.com,19,0,2,0,0,1
grrybgcxet.fake-site.com,24,0,2,1,0,1
ycfpbbh.com,11,0,1,0,0,0
lyxpuurw54,10,1,0,0,0,1
ehxwbho.io,10,0,1,0,0,0
gpvakq.co,9,0,1,0,0,0
login.dfbqtkejjs.com,20,0,2,0,0,1
tlknxs0,7,1,0,0,0,1
update-hwmdx,12,0,0,1,0,1
secure-cvgvvyyv,15,0,0,1,0,1
gfwy00e0a,9,1,0,0,0,1
qywyvj.com,10,0,1,0,0,0
lfvohd.net,10,0,1,0,0,0
jabxps.org,10,0,1,0,0,0
secure-iusjuuj,14,0,0,1,0,1
smzzobgac@phishing.com,22,0,1,0,1,1
eagbhn.com,10,0,1,0,0,0
hkbbdlller.io,13,0,1,0,0,0
mmsop.org,9,0,1,0,0,0
verify.deywj.com,16,0,2,0,0,1
sglmibvivh.com,14,0,1,0,0,0
login.aysis.com,15,0,2,0,0,1
eundpijn.fake-site.com,22,0,2,1,0,1
verify-gqetnlayam,17,0,0,1,0,1
gxffz.fake-site.com,19,0,2,1,0,1
odlolswdi.net,13,0,1,0,0,0
eiihgv.net,10,0,1,0,0,0
ehbsv.io,8,0,1,0,0,0
vrazhcqcb.io,12,0,1,0,0,0
oltbisnmqz.io,13,0,1,0,0,0
ykezzamt.net,12,0,1,0,0,0
update-hprcuqjx,15,0,0,1,0,1
aofzzifmu.io,12,0,1,0,0,0
login-igqdbzs,13,0,0,1,0,1
login.dnlodadzbp.com,20,0,2,0,0,1
xj3k9sd8f.com,15,1,1,0,0,1
update-awgmkyhr,15,0,0,1,0,1
yqlwzri.fake-site.com,21,0,2,1,0,1
uaqdsuort@phishing.com,22,0,1,0,1,1
fd0zehe,7,1,0,0,0,1
fiiohdsrlr.net,14,0,1,0,0,0
login-gkonwze,13,0,0,1,0,1
