url,length,hasNumbers,numDots,hasHyphen,hasAtSymbol,label
ihldykxky.org,13,0,1,0,0,0
update-awgmkyhr,15,0,0,1,0,1
rtgqdtiy.org,12,0,1,0,0,0
verify-gqetnlayam,17,0,0,1,0,1
ovtog.io,8,0,1,0,0,0
nbolqh24,8,1,0,0,0,1
fuizaieo.com,12,0,1,0,0,0
zjmre,5,0,0,0,0,1
jfhlzrn.io,10,0,1,0,0,0
account.dcoyoo.com,18,0,2,0,0,1
yuoslzbt.com,12,0,1,0,0,0
cnroqldsy@phishing.com,22,0,1,0,1,1
xjjpzbqvy.com,13,0,1,0,0,0
xudlgpcwfp,10,0,0,0,0,1
suweevwa.com,12,0,1,0,0,0
jelkuwp@phishing.com,20,0,1,0,1,1
ktgvarqwe.net,13,0,1,0,0,0
hbazjpxb36,10,1,0,0,0,1
orimibn.com,11,0,1,0,0,0
xypmigq@phishing.com,20,0,1,0,1,1
ehxwbho.io,10,0,1,0,0,0
fauqcqnc-secure,15,0,0,1,0,1
xvhyj.io,8,0,1,0,0,0
secure-fwbkzxsuya,17,0,0,1,0,1
vrazhcqcb.io,12,0,1,0,0,0
jjekrte50,9,1,0,0,0,1
nkjrwyhccv.org,14,0,1,0,0,0
atztubednx@phishing.com,23,0,1,0,1,1
zefpbwxzy.io,12,0,1,0,0,0
usfnt@phishing.com,18,0,1,0,1,1
gtufrdyo.co,11,0,1,0,0,0
ctmcszekm23,11,1,0,0,0,1
nlmlfuf.co,10,0,1,0,0,0
gxffz.fake-site.com,19,0,2,1,0,1
mmsop.org,9,0,1,0,0,0
account.ssmbxhw.com,19,0,2,0,0,1
cutzcxotdu.co,13,0,1,0,0,0
gfxzv.fake-site.com,19,0,2,1,0,1
vzfvt.org,9,0,1,0,0,0
jnftawxsjs-update,17,0,0,1,0,1
jprqimdmg.co,12,0,1,0,0,0
account-qpiqrtpllh,18,0,0,1,0,1
tksaarxam.net,13,0,1,0,0,0
update-kejsitazkb,17,0,0,1,0,1
mvdxxc.org,10,0,1,0,0,0
tvsmclrny.fake-site.com,23,0,2,1,0,1
nrjzr.io,8,0,1,0,0,0
vpkgdgjk-login,14,0,0,1,0,1
nfrlfbpfy.co,12,0,1,0,0,0
duigabypig,10,0,0,0,0,1
nsxqucojmk.io,13,0,1,0,0,0
oyizsce@phishing.com,20,0,1,0,1,1
huchzeqkes.net,14,0,1,0,0,0
psrqxs-account,14,0,0,1,0,1
ftdauaw.org,11,0,1,0,0,0
agrkyw0wgs,10,1,0,0,0,1
nhogsfcm.co,11,0,1,0,0,0
gnvqshngs18,11,1,0,0,0,1
rqnkcae.net,11,0,1,0,0,0
vzbnejjl@phishing.com,21,0,1,0,1,1
hkbbdlller.io,13,0,1,0,0,0
update-bkvfdacko,16,0,0,1,0,1
jixcoaxjq.org,13,0,1,0,0,0
elazg,5,0,0,0,0,1
emarr.org,9,0,1,0,0,0
update.iaxyjjphp.com,20,0,2,0,0,1
lrklvroq.com,12,0,1,0,0,0
dnxxxu14,8,1,0,0,0,1
lqgyrwag.com,12,0,1,0,0,0
oigdmnmzc.fake-site.com,23,0,2,1,0,1
dlcnj.io,8,0,1,0,0,0
login.jbtvalihjj.com,20,0,2,0,0,1
eewwzw.net,10,0,1,0,0,0
account-omssl,13,0,0,1,0,1
wuvyfufyta.net,14,0,1,0,0,0
gaeqjg@phishing.com,19,0,1,0,1,1
mfdedtmb.org,12,0,1,0,0,0
login.dfbqtkejjs.com,20,0,2,0,0,1
rbxseb.net,10,0,1,0,0,0
login-bbtxcgsdtk,16,0,0,1,0,1
wnnyqygn.net,12,0,1,0,0,0
account-bogdpgq,15,0,0,1,0,1
fryaqlsci.net,13,0,1,0,0,0
eiurzddr,8,0,0,0,0,1
mjpxa.io,8,0,1,0,0,0
tvksg75,7,1,0,0,0,1
szhyejcwaq.com,14,0,1,0,0,0
lqvraiib75,10,1,0,0,0,1
cjtiyzyg.com,12,0,1,0,0,0
sxemdswqg-verify,16,0,0,1,0,1
jabxps.org,10,0,1,0,0,0
dzubtsa.fake-site.com,21,0,2,1,0,1
yefbefaho.com,13,0,1,0,0,0
vpxewlw.fake-site.com,21,0,2,1,0,1
pgupcqwkk.org,13,0,1,0,0,0
oandty-update,13,0,0,1,0,1
xhjuxi.com,10,0,1,0,0,0
ahpnvx@phishing.com,19,0,1,0,1,1
vgxbwsjdx.net,13,0,1,0,0,0
ilctmp@phishing.com,19,0,1,0,1,1
vnjqvnjf.org,12,0,1,0,0,0
inqbjhepa,9,0,0,0,0,1
zitgs.org,9,0,1,0,0,0
dpcnr@phishing.com,18,0,1,0,1,1
xjllfergzf.com,14,0,1,0,0,0
zthzlbttw.fake-site.com,23,0,2,1,0,1
lqprf.org,9,0,1,0,0,0
jpkwqx,6,0,0,0,0,1
jvwmqys.io,10,0,1,0,0,0
fimce@phishing.com,18,0,1,0,1,1
kyrnrex.com,11,0,1,0,0,0
nkzfiigr.fake-site.com,22,0,2,1,0,1
zxoshgkfy.co,12,0,1,0,0,0
update.zzeffamr.com,19,0,2,0,0,1
